salesperson_id,product_id,state,city,latitude,longitude,shiptonumber,customer_id,company_id,source_id,price,metric,tons,mode_id,terms,ship_start,completed
8,1,KS,BELOIT,39.4561178,-98.1061595,208732,29,34,618,200,$/st,39,2,FOB,Aug-17,yes
13,1,MN,GOODRIDGE,48.1432965,-95.809459,208674,90,34,590,260,$/st,20,2,DEL,Aug-17,yes
13,1,MN,FERTILE,47.5360765,-96.2803328,210023,90,34,590,260,$/st,20,2,FOB,Aug-17,no
7,2,AB,BARONS,49.997467,-113.075508,204079,686,34,559,339,$/st,100,2,FOB,Aug-17,yes
7,2,AB,CLARESHOLM,50.03,-113.58,204778,686,34,559,336,$/st,166,2,FOB,Aug-17,no
8,2,AB,LEGAL,53.95014825,-113.585332,209863,29,34,559,325,$/st,243,2,DEL,Aug-17,no
12,1,IL,RIDGWAY,37.7992131,-88.2611509,203213,267,34,565,249.48,$/st,20,2,FOB,Aug-17,yes
7,2,AB,DRUMHELLER,51.4333,-112.667,201907,40,34,559,334,$/st,49,2,DEL,Aug-17,yes
14,1,ND,WESTHOPE,48.9094642,-101.0207117,208633,8,34,568,260,$/st,51,2,DEL,Aug-17,no
14,1,ND,MAX,47.8211141,-101.2987702,205189,8,34,568,260,$/st,27,2,DEL,Aug-17,yes
14,1,ND,TURTLE LAKE,47.519998,-100.8901427,208682,8,34,568,260,$/st,25,2,DEL,Aug-17,no
7,2,AB,VERMILION,53.35,-110.85,101308,453,34,559,333,$/st,99,2,FOB,Aug-17,yes
12,1,IN,WASHINGTON,38.6592152,-87.172789,204533,3,34,574,255.57,$/st,20,2,DEL,Aug-17,yes
7,2,AB,THREE HILLS,51.7,-113.27,101288,420,34,559,334,$/st,99,2,FOB,Aug-17,yes
7,2,AB,DRUMHELLER,51.4333,-112.667,201907,420,34,559,339,$/st,195,2,FOB,Aug-17,yes
7,2,AB,LINDEN,51.59181312,-113.4852486,201909,420,34,559,334,$/st,49,2,FOB,Aug-17,no
4,1,IL,MORRISONVILLE,39.4200501,-89.4556486,207380,96,34,571,240.97,$/st,39,2,FOB,Aug-17,yes
13,2,ND,BOWMAN,46.1830618,-103.3949061,212165,5,34,558,180,$/st,62,2,FOB,Aug-17,yes
13,2,SD,AURORA,44.2841348,-96.685606,101306,5,34,558,180,$/st,56,2,DEL,Aug-17,yes
13,2,MN,EAST GRAND FORKS,47.9299789,-97.0245211,215695,218,34,558,163.5,$/st,104,2,DEL,Aug-17,no
13,2,MN,STEPHEN,48.4499791,-96.8725616,201566,218,34,558,168,$/st,23,2,FOB,Aug-17,yes
13,2,ND,GRAFTON,48.4122108,-97.410634,201581,218,34,558,168,$/st,25,2,DEL,Aug-17,yes
13,2,ND,MINTO,48.2916547,-97.3714652,201520,218,34,558,168,$/st,32,2,DEL,Aug-17,yes
7,1,MB,ROSENORT,49.45860062,-97.43487583,101611,40,34,582,406,$/st,28,2,FOB,Aug-17,yes
8,2,MN,BINGHAM LAKE,43.9066239,-95.0463791,100548,379,34,558,179,$/st,53,2,FOB,Aug-17,yes
8,2,MN,WALNUT GROVE,44.2230121,-95.469449,218239,151,34,558,179,$/st,127,2,FOB,Aug-17,no
7,2,AB,DRUMHELLER,51.4333,-112.667,101292,396,34,559,339,$/st,47,2,FOB,Aug-17,no
12,1,IL,MORRIS,41.357254,-88.4211785,200553,3,34,580,254,$/st,57,2,DEL,Aug-17,no
9,1,OK,AMES,36.2458685,-98.1853448,101584,47,34,560,200,$/st,40,2,DEL,Aug-17,no
3,1,NE,CRESTON,41.7066754,-97.362543,100592,131,34,558,240,$/st,21,2,FOB,Aug-17,yes
1,4,FL,TAMPA,27.9475216,-82.4584279,201883,99,34,561,140.66,$/st,299,1,FOB,Aug-17,yes
13,1,MN,CANBY,44.7088525,-96.2764335,205772,8,34,598,224.71,$/st,20,2,DEL,Aug-17,yes
3,2,NE,FRANKLIN,40.0961242,-98.9525807,206912,670,34,558,173,$/st,64,2,DEL,Aug-17,no
3,3,KS,LEON,37.6902964,-96.7822508,101925,828,34,560,180,$/st,28,2,FOB,Aug-17,no
